DATE (MM/DD/YYYY),HOUR-CST,Avg Global Horizontal [W/m^2],Avg Direct Normal [W/m^2],Avg Diffuse Horizontal [W/m^2],Avg Global (stdev) [W/m^2],Avg Direct (stdev) [W/m^2],Avg Diffuse (stdev) [W/m^2],Avg Air Temperature [deg C],Avg Relative Humidity [%]
2/2/2021,17,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
2/3/2021,16,368.7782,415.3768,136.7335,58.8695,98.1204,2.2288,-99999,-99999
2/3/2021,17,249.3693,352.6683,106.9191,22.5251,46.8745,1.1985,-99999,-99999
2/3/2021,18,113.0755,262.0966,56.3596,1.7885,6.0373,0.4725,-99999,-99999
2/3/2021,19,2.9099,6.5500,2.2853,0.2237,0.3811,0.1641,-99999,-99999
2/3/2021,20,-1.6892,-0.3820,-2.4807,0.0000,0.0000,0.0000,-99999,-99999
2/3/2021,21,-1.6895,-0.3821,-2.4812,0.0000,0.0000,0.0000,-99999,-99999
2/3/2021,22,-1.6898,-0.3822,-2.4816,0.0000,0.0000,0.0000,-99999,-99999
2/3/2021,23,-1.6899,-0.3822,-2.4818,0.0000,0.0000,0.0000,-99999,-99999
2/4/2021,0,-1.6901,-0.3823,-2.4819,0.0000,0.0000,0.0008,-99999,-99999
2/4/2021,1,-1.6902,-0.3823,-2.4822,0.0000,0.0000,0.0000,-99999,-99999
2/4/2021,2,-1.6902,-0.3823,-2.4821,0.0000,0.0000,0.0000,-99999,-99999
2/4/2021,3,-1.6902,-0.3823,-2.4822,0.0000,0.0000,0.0000,-99999,-99999
2/4/2021,4,-1.6902,-0.3823,-2.4822,0.0000,0.0000,0.0000,-99999,-99999
2/4/2021,5,-1.6902,-0.3823,-2.4822,0.0000,0.0000,0.0000,-99999,-99999
2/4/2021,6,-1.6903,-0.3823,-2.4744,0.0000,0.0000,0.0116,-99999,-99999
2/4/2021,7,-1.6769,-0.3823,-2.4281,0.0077,0.0000,0.0285,-99999,-99999
2/4/2021,8,32.6326,108.5094,21.6832,0.5196,1.6324,0.3075,-99999,-99999
2/4/2021,9,212.0657,421.5484,85.6807,2.8755,6.0805,0.6591,-99999,-99999
2/4/2021,10,414.5070,583.0176,103.2922,2.4300,4.5278,0.3516,-99999,-99999
2/4/2021,11,571.6872,705.3057,108.8213,1.9854,3.0690,0.2501,-99999,-99999
2/4/2021,12,687.1796,785.2887,115.7742,1.1021,1.5880,0.2100,-99999,-99999
2/4/2021,13,742.0760,832.4532,112.2092,0.8570,1.1553,0.2441,-99999,-99999
2/4/2021,14,727.4894,834.5710,104.5963,0.9183,1.3549,0.1492,-99999,-99999
