datetime,solar_global[W/sf],solar_horizontal[W/sf],solar_direct[W/sf],clouds,dewpoint[degF],temperature[degF],ground_reflectivity[pu],wind_speed[m/s],wind_dir[rad],solar_altitude[deg],humidity[%],pressure[mbar],heat_index[degF]
2014-01-01 00:00:00,0.0,0.0,0.0,0,35.6,41.0,0.1,0.8,1.3,157.2,100.0,1010,40.2
2014-01-01 01:00:00,0.0,0.0,0.0,0,35.6,39.2,0.1,0.8,1.3,152.7,100.0,1010,38.4
2014-01-01 02:00:00,0.0,0.0,0.0,0,35.6,37.4,0.1,0.7,1.4,144.4,100.0,1010,36.5
2014-01-01 03:00:00,0.0,0.0,0.0,0,35.6,37.4,0.1,0.5,1.4,134.6,100.0,1010,36.5
2014-01-01 04:00:00,0.0,0.0,0.0,1,33.8,37.4,0.1,0.5,1.4,124.2,100.0,1010,36.5
2014-01-01 05:00:00,0.0,0.0,0.0,4,33.8,37.4,0.1,0.5,1.6,113.8,100.0,1010,36.5
2014-01-01 06:00:00,0.0,0.0,0.0,4,33.8,35.6,0.1,0.6,1.5,103.6,100.0,1010,34.6
2014-01-01 07:00:00,0.0,0.0,0.0,4,33.8,35.6,0.1,0.5,1.3,94.0,100.0,1010,34.6
2014-01-01 08:00:00,1.2,1.2,0.0,4,35.6,37.4,0.1,0.4,1.3,85.4,100.0,1010,36.5
2014-01-01 09:00:00,0.7,0.7,0.0,7,35.6,39.2,0.1,0.5,1.1,78.1,100.0,1010,38.4
2014-01-01 10:00:00,10.6,10.2,1.1,7,39.2,42.8,0.1,0.6,1.0,72.6,100.0,1010,42.1
2014-01-01 11:00:00,15.2,13.4,5.4,7,39.2,44.6,0.1,0.7,0.9,69.3,100.0,1010,44.0
2014-01-01 12:00:00,19.3,14.2,13.8,7,41.0,46.4,0.1,0.8,0.8,68.7,99.2,1010,45.9
2014-01-01 13:00:00,11.4,11.1,0.7,3,42.8,46.4,0.1,0.8,0.8,70.7,94.1,1010,45.8
2014-01-01 14:00:00,11.3,9.4,7.6,4,42.8,44.6,0.1,0.6,0.7,75.1,100.0,1010,44.0
2014-01-01 15:00:00,4.6,4.6,0.0,4,39.2,42.8,0.1,0.4,0.6,81.6,100.0,1010,42.1
2014-01-01 16:00:00,0.0,0.0,0.0,7,35.6,39.2,0.1,0.5,0.8,89.7,100.0,1010,38.4
2014-01-01 17:00:00,0.0,0.0,0.0,4,35.6,37.4,0.1,0.5,1.0,98.8,100.0,1010,36.5
2014-01-01 18:00:00,0.0,0.0,0.0,0,33.8,37.4,0.1,0.5,1.2,108.8,100.0,1010,36.5
2014-01-01 19:00:00,0.0,0.0,0.0,4,33.8,35.6,0.1,0.5,1.3,119.1,100.0,1010,34.6
2014-01-01 20:00:00,0.0,0.0,0.0,4,33.8,35.6,0.1,0.5,1.4,129.6,100.0,1010,34.6
2014-01-01 21:00:00,0.0,0.0,0.0,1,32.0,35.6,0.1,0.5,1.4,139.8,100.0,1010,34.6
